IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
110.73.43.143,18-01-21 23:31,2.202,广西南宁,HTTPS,8123
124.164.62.116,18-01-21 23:30,1.085,山西晋城,HTTP,80
59.60.175.105,18-01-21 23:22,0.514,福建龙岩,HTTPS,45501
218.15.25.153,18-01-22 07:30,1.176,广东茂名,HTTPS,808
218.11.87.251,18-01-22 07:30,0.279,河北廊坊,HTTPS,8118
110.230.202.117,18-01-22 07:30,0.14,河北保定,HTTP,8118
122.237.246.81,18-01-22 07:30,0.353,浙江绍兴,HTTP,3128
121.31.136.27,18-01-21 23:22,0.925,广西北海,HTTP,8123
113.121.184.127,18-01-21 23:22,1.727,山东,HTTP,808
222.132.174.54,18-01-21 23:21,2.044,山东泰安,HTTPS,8118
1.194.116.69,18-01-21 23:16,6.526,河南平顶山,HTTP,33291
125.106.22.188,18-01-22 07:27,5.559,浙江衢州,HTTPS,3128
110.73.49.181,18-01-22 07:26,5.062,广西南宁,HTTP,8123
115.56.176.180,18-01-22 07:25,6.985,河南开封,HTTP,8118
111.76.152.42,18-01-22 07:24,0.192,江西新余,HTTPS,808
27.40.134.32,18-01-22 07:24,1.575,广东湛江,HTTPS,61234
183.92.155.130,18-01-22 07:23,1.136,湖北,HTTPS,80
115.46.89.191,18-01-21 23:16,4.898,广西南宁,HTTP,8123
113.8.111.248,18-01-21 23:16,1.139,黑龙江,HTTP,80
60.167.21.159,18-01-21 23:15,1.239,安徽芜湖,HTTP,24159
180.122.150.244,18-01-21 23:15,1.482,江苏泰州,HTTP,46865
122.225.17.123,18-01-21 23:11,0.211,浙江嘉兴,HTTP,8080
110.72.35.126,18-01-21 23:00,5.437,广西贵港,HTTP,8123
113.124.224.49,18-01-22 07:23,0.238,山东烟台,HTTP,808
139.199.87.42,18-01-22 07:22,0.213,长城宽带,HTTP,80
182.42.244.85,18-01-22 07:22,0.393,山东,HTTPS,808
61.135.217.7,18-01-22 07:21,0.324,北京,HTTP,80
122.114.31.177,18-01-22 07:21,0.107,河南郑州,HTTP,808
27.225.187.105,18-01-22 07:21,0.195,甘肃武威,HTTPS,8118
42.49.119.94,18-01-21 22:59,1.831,湖南,HTTP,8118
125.115.130.126,18-01-21 22:50,0.605,浙江宁波,HTTPS,8118
118.114.77.47,18-01-21 22:46,3.136,四川成都,HTTP,8080
113.67.166.190,18-01-21 22:44,0.49,广东广州,HTTPS,8118
114.99.26.131,18-01-21 22:44,1.957,安徽安庆,HTTPS,8010
223.241.116.51,18-01-21 22:31,5.406,安徽,HTTP,8010
111.132.193.159,18-01-22 07:20,0.214,北京,HTTPS,8118
112.255.5.52,18-01-22 07:20,0.937,山东青岛,HTTPS,8118
49.72.163.84,18-01-22 07:18,0.398,江苏苏州,HTTPS,8118
106.56.102.40,18-01-22 07:15,0.415,云南,HTTP,808
118.254.148.43,18-01-21 22:30,0.241,湖南衡阳,HTTP,3128
222.76.187.21,18-01-21 22:23,3.269,福建厦门,HTTPS,8118
27.153.128.218,18-01-21 22:22,1.297,福建莆田,HTTPS,22547
110.72.43.104,18-01-21 22:22,0.287,广西贵港,HTTPS,8123
110.72.33.145,18-01-21 22:22,2.2,广西贵港,HTTP,8123
125.79.71.77,18-01-21 22:22,0.263,福建龙岩,HTTPS,42356
49.85.1.168,18-01-21 22:22,0.224,江苏泰州,HTTPS,49445
124.133.72.70,18-01-22 07:15,0.094,山东济南,HTTPS,8118
60.215.236.173,18-01-22 07:13,0.602,山东淄博,HTTPS,8118
112.93.92.44,18-01-22 07:11,0.173,广东佛山,HTTP,80
112.114.94.40,18-01-22 07:11,0.344,云南临沧,HTTPS,8118
119.96.18.121,18-01-22 07:11,0.135,湖北武汉,HTTPS,8118
111.195.245.83,18-01-21 22:22,1.291,北京,HTTPS,8123
60.162.23.160,18-01-21 22:16,5.086,浙江台州,HTTP,35836
121.31.196.137,18-01-21 22:16,5.692,广西桂林,HTTP,8123
182.88.164.9,18-01-21 22:15,0.309,广西南宁,HTTPS,8123
120.9.86.1,18-01-21 22:11,0.112,河北邯郸,HTTPS,8118
219.159.66.222,18-01-22 07:10,7.847,广西南宁,HTTP,808
139.199.170.73,18-01-22 07:10,0.24,长城宽带,HTTPS,80
202.103.14.155,18-01-22 07:10,0.202,湖北天门,HTTP,8118
27.40.132.237,18-01-22 07:07,0.619,广东湛江,HTTP,61234
175.168.69.37,18-01-22 07:06,7.127,辽宁沈阳,HTTPS,80
123.150.108.211,18-01-22 07:04,5.704,天津,HTTP,8118
120.15.156.56,18-01-21 22:11,0.156,河北衡水,HTTPS,8118
123.101.110.151,18-01-21 22:11,0.14,河南郑州,HTTPS,34520
180.102.181.16,18-01-21 22:11,0.178,江苏苏州,HTTPS,23672
125.126.163.49,18-01-21 22:11,0.154,浙江台州,HTTPS,32642
110.72.22.227,18-01-21 22:11,0.248,广西贵港,HTTPS,8123
119.162.211.247,18-01-21 22:00,0.106,山东济南,HTTPS,8118
221.10.159.234,18-01-22 07:04,0.447,四川内江,HTTP,1337
112.81.30.60,18-01-22 07:01,0.166,江苏苏州,HTTPS,8118
42.227.40.205,18-01-22 07:00,6.355,河南,HTTPS,8118
222.160.165.29,18-01-22 07:00,3.146,吉林通化,HTTP,80
60.177.224.82,18-01-22 06:59,0.533,浙江杭州,HTTP,808
123.185.131.93,18-01-21 21:56,0.109,辽宁大连,HTTPS,8118
171.13.2.191,18-01-21 21:55,1.464,河南,HTTPS,47409
183.148.77.98,18-01-21 21:55,1.531,浙江台州,HTTPS,34897
110.86.136.67,18-01-21 21:55,2.56,福建宁德,HTTPS,30675
110.72.38.161,18-01-21 21:55,2.164,广西贵港,HTTPS,8123
122.143.156.101,18-01-21 21:46,0.137,吉林四平,HTTP,80
118.120.185.171,18-01-21 21:45,0.754,四川,HTTP,22439
27.40.128.149,18-01-22 06:56,0.503,广东湛江,HTTP,61234
139.210.54.32,18-01-22 06:55,0.144,吉林长春,HTTPS,8118
59.173.211.127,18-01-22 06:54,0.25,湖北武汉,HTTP,8118
27.40.148.13,18-01-22 06:53,0.728,广东湛江,HTTPS,61234
171.38.94.214,18-01-22 06:45,0.337,广西玉林,HTTPS,8123
116.53.199.231,18-01-22 06:44,0.97,云南昆明,HTTP,8118
140.237.113.5,18-01-21 21:45,0.317,电信骨干网,HTTPS,36647
125.78.6.240,18-01-21 21:33,0.179,福建泉州,HTTPS,32742
36.99.207.74,18-01-21 21:33,2.785,浙江,HTTPS,26462
49.87.146.78,18-01-21 21:33,5.522,江苏淮安,HTTPS,26628
114.232.119.20,18-01-21 21:33,0.147,江苏南通,HTTPS,39923
183.151.37.162,18-01-21 21:22,1.239,浙江丽水,HTTPS,20674
49.85.7.23,18-01-21 21:22,0.167,江苏泰州,HTTPS,49937
112.114.94.210,18-01-22 06:44,2.32,云南临沧,HTTPS,8118
